x,y,shot_distance,shot_angle,body_part,is_goal
93.6,38.9,26.42290672882149,0.0416425790985884,Left Foot,1
111.3,48.4,12.093386622447824,0.7678561033400456,Right Foot,1
107.8,43.2,12.612692020342053,0.2565166126443237,Right Foot,1
115.6,39.6,4.41814440687491,0.0906598872007446,Head,1
101.9,42.3,18.24554740203757,0.1263944206791473,Right Foot,1
110.2,39.6,9.80815986819138,0.0407936828678652,Head,1
115.2,35.5,6.579513659838391,0.7531512809621946,Head,1
116.2,47.5,8.407734534343957,1.1018296190225751,Head,1
115.2,40.5,4.8259714048054585,0.1037923404570428,Right Foot,1
103.3,37.1,16.94992625352689,0.1719380978237447,Left Foot,1
117.7,37.2,3.623534186398684,0.8831250707561672,Other,1
108.3,44.4,12.500000000000002,0.3597069995849563,Left Foot,1
94.4,29.4,27.707760645710792,0.3925701350118287,Right Foot,1
101.9,52.9,22.22656068760976,0.619203461259728,Right Foot,1
114.0,26.1,15.13968295572929,1.163302638315449,Right Foot,1
115.8,41.3,4.396589587396124,0.3001711708301112,Left Foot,1
99.6,50.1,22.763347732704,0.4597183561377333,Right Foot,1
108.0,40.1,12.00041665943312,0.008333140440136,Left Foot,1
110.8,42.3,9.483142938920622,0.2449786631268637,Right Foot,1
112.2,49.8,12.525174649480936,0.8985491449879328,Right Foot,1
108.4,45.9,13.01422298871507,0.4705203530219766,Right Foot,1
108.3,35.7,12.465151423067432,0.3521979949658131,Left Foot,1
112.1,37.5,8.286132994346644,0.3064845648498621,Head,1
87.5,40.4,32.502461445250574,0.0123070709106713,Right Foot,1
114.1,44.6,7.481310045707241,0.6622155012561718,Head,1
108.0,40.1,12.00041665943312,0.008333140440136,Right Foot,1
115.3,33.9,7.700649323271385,0.9143089350814396,Left Foot,1
111.5,43.4,9.154780172128657,0.3805063771123647,Head,1
110.8,30.7,13.08166656049603,0.790803516157997,Right Foot,1
115.1,37.8,5.37121960079832,0.4220050299022177,Head,1
113.9,35.7,7.46324326281811,0.6140190370079408,Right Foot,1
117.5,35.2,5.412023651093921,1.0906212971913694,Right Foot,1
117.5,31.5,8.860022573334675,1.2847448850775784,Head,1
112.9,49.4,11.780067911519012,0.9238996453133532,Right Foot,1
112.6,46.5,9.849365461794992,0.7207402169734667,Right Foot,1
113.9,38.3,6.332456079595021,0.2717921586747001,Head,1
118.6,36.9,3.4014702703389936,1.1466019188911287,Right Foot,1
113.2,42.6,7.280109889280515,0.3652014497881733,Right Foot,1
110.1,38.5,10.012991560967189,0.1503714280071344,Right Foot,1
104.1,51.2,19.44865033877673,0.6136745657849139,Right Foot,1
93.6,46.5,27.188416651213807,0.2414104356302935,Right Foot,1
107.2,30.9,15.70509471477329,0.618028912282562,Left Foot,1
116.7,37.7,4.02243707222375,0.6086893073274116,Left Foot,1
112.4,40.1,7.60065786626394,0.0131571354727559,Left Foot,1
109.6,50.6,14.84991582467726,0.794921684991061,Right Foot,1
117.4,33.3,7.18679344353238,1.2006254989526808,Left Foot,1
109.2,48.1,13.499999999999998,0.6435011087932846,Left Foot,1
108.4,36.7,12.06026533704793,0.2771607073335892,Left Foot,1
108.0,28.9,16.346559270990333,0.7464568203004092,Left Foot,1
119.0,42.6,2.785677655436825,1.2036224929766777,Head,1
116.9,38.7,3.361547262794316,0.3970794452249822,Right Foot,1
99.6,32.6,21.70069123323034,0.3479836021718336,Right Foot,1
110.2,50.6,14.43606594609487,0.8245937653245032,Right Foot,1
115.0,34.3,7.582216034906947,0.8507256330208002,Left Foot,1
115.2,42.6,5.458937625582471,0.4964227534048823,Right Foot,1
115.3,46.5,8.021221852062192,0.9447498043013648,Head,1
113.0,49.1,11.480853626799709,0.9151007005533603,Left Foot,1
115.2,41.9,5.16236379965612,0.3769092703248209,Left Foot,1
118.2,46.7,6.937578828380981,1.3083369269686207,Right Foot,1
114.4,33.6,8.504116650187713,0.8519663271732725,Right Foot,1
113.5,39.1,6.562011886609167,0.1375867364703496,Right Foot,1
116.7,32.9,7.829431652425353,1.1357123756328509,Head,1
102.1,39.8,17.901117283566414,0.0111727194387394,Right Foot,1
89.1,35.3,31.25539953352061,0.1509465813179472,Right Foot,1
105.3,35.7,15.31600470096559,0.284577603432965,Right Foot,1
113.6,40.0,6.400000000000006,0.0,Left Foot,1
113.0,31.3,11.166467659918242,0.893258189069532,Right Foot,1
93.4,74.0,43.16897033750052,0.906908793408506,Right Foot,1
117.6,33.3,7.116881339463239,1.2268272070715347,Head,1
112.6,49.9,12.360016181219184,0.9289133395667046,Right Foot,1
110.4,39.0,9.651942809610915,0.1037923404570428,Left Foot,1
100.1,40.5,19.906280415989325,0.0251203428963521,Right Foot,1
96.6,38.5,23.44802763560296,0.064014977834344,Right Foot,1
105.0,43.3,15.358710883404244,0.2165503049760891,Left Foot,1
117.6,46.7,7.116881339463239,1.2268272070715347,Head,1
99.9,30.8,22.1054291973714,0.4292482284222965,Left Foot,1
99.4,46.5,21.601157376399996,0.3056465294015981,Right Foot,1
115.2,44.9,6.859300255857004,0.7957070765436918,Right Foot,1
108.1,40.0,11.900000000000006,0.0,Left Foot,1
105.6,35.3,15.147607071745696,0.3154875882689748,Left Foot,1
115.9,37.5,4.802082881417183,0.5475622359399982,Head,1
98.8,46.0,22.032702966272662,0.2758058985885224,Left Foot,1
115.7,37.4,5.024937810560444,0.5438324563021228,Left Foot,1
108.8,40.6,11.216059914247966,0.0535202684593152,Left Foot,1
118.4,40.8,1.7888543819998253,0.4636476090008061,Head,1
115.6,39.4,4.440720662234909,0.1355277139855008,Head,1
111.5,35.0,9.86154146165801,0.5317240672588056,Right Foot,1
109.7,34.7,11.58360910942699,0.4752301026094622,Left Foot,1
101.8,24.0,24.23303530307337,0.7211591879561584,Left Foot,1
114.7,43.8,6.521502894272144,0.6220320152891723,Head,1
109.4,40.4,10.60754448494089,0.0377179524668641,Right Foot,1
88.8,40.0,31.200000000000003,0.0,Right Foot,1
96.0,49.5,25.81181899828061,0.376909270324821,Left Foot,1
113.6,44.7,7.940403012442131,0.6334258829691445,Head,1
114.0,40.3,6.007495318350236,0.0499583957219422,Head,1
113.0,30.6,11.720068259186888,0.9307081740331504,Right Foot,1
109.8,16.3,25.801744127093425,1.164377824138751,Left Foot,1
111.2,45.5,10.377379245262262,0.5585993153435626,Left Foot,1
114.3,45.4,7.851751396981442,0.7583777142101832,Left Foot,1
109.7,36.2,10.978615577567142,0.3534402303516729,Left Foot,1
94.2,21.6,31.689114850370935,0.6195158103991286,Right Foot,1
107.8,42.5,12.453513560437475,0.2021199341494937,Right Foot,1
107.9,40.0,12.099999999999994,0.0,Right Foot,1
107.6,32.2,14.649232061783993,0.5614936632670984,Right Foot,1
112.3,38.4,7.864477096412707,0.2048767170371085,Left Foot,1
116.7,37.0,4.459820624195549,0.7378150601204654,Head,1
108.0,40.1,12.00041665943312,0.008333140440136,Right Foot,1
113.1,46.5,9.479451460923256,0.7555562787303385,Right Foot,1
113.9,42.2,6.484597134749386,0.3461359635693614,Head,1
108.0,40.0,12.0,0.0,Left Foot,1
117.6,46.7,7.116881339463239,1.2268272070715347,Right Foot,1
119.0,40.0,1.0,0.0,Head,1
117.6,32.4,7.969943538068513,1.2649174553900435,Head,1
110.7,48.8,12.803515142334932,0.757780877515906,Right Foot,1
110.4,43.8,10.32472759931224,0.3769092703248209,Left Foot,1
108.2,36.0,12.459534501738013,0.3268266529299408,Right Foot,1
101.0,29.8,21.56478611069444,0.4926850881734511,Right Foot,1
116.5,38.3,3.891015291668745,0.4521538622857762,Head,1
98.4,44.5,22.06377120983627,0.2053953891897674,Left Foot,1
112.7,39.6,7.3109506905736925,0.0547397800498805,Right Foot,1
118.8,36.7,3.5114099732158857,1.2220253232109886,Right Foot,1
112.6,51.2,13.423859355639872,0.9869259311327814,Right Foot,1
118.2,35.6,4.753945729601883,1.1824776086224311,Head,1
112.2,34.7,9.430270409696634,0.5968259039857008,Right Foot,1
116.7,41.3,3.546829570193636,0.3752708228559568,Head,1
99.7,61.2,29.351831288694747,0.8070815114770501,Right Foot,1
114.1,36.1,7.072481884034773,0.5840810550228069,Head,1
116.7,43.9,5.108815909777918,0.8685393952858897,Head,1
120.1,0.4,39.60012626242497,1.5733215739524082,Right Foot,1
109.2,39.3,10.822661410207749,0.0647242814155923,Right Foot,1
98.7,37.5,21.446211786700232,0.1168363392344575,Right Foot,1
111.5,35.2,9.76165969494942,0.514063565889627,Right Foot,1
112.3,34.1,9.700515450222222,0.6538100219395274,Right Foot,1
107.4,52.8,17.961069010501568,0.793272016421549,Left Foot,1
115.2,44.4,6.51152823843988,0.7419472680059176,Right Foot,1
106.2,51.3,17.836199146679203,0.6861239882033786,Right Foot,1
105.2,39.5,14.808443537387712,0.0337709396049139,Right Foot,1
112.7,34.7,9.021086409075124,0.6279812906708575,Right Foot,1
114.2,38.3,6.044005294504628,0.2851177351725967,Right Foot,1
110.8,40.1,9.20054346220918,0.0108691371772703,Head,1
119.5,36.9,3.1400636936215176,1.4108832036366774,Left Foot,1
119.0,35.8,4.317406628984584,1.3370531459259951,Head,1
108.0,40.0,12.0,0.0,Right Foot,1
118.8,39.0,1.562049935181333,0.694738276196702,Head,1
95.7,23.4,29.42872746144488,0.5993122061556663,Left Foot,1
108.1,40.2,11.901680553602509,0.0168051405150422,Right Foot,1
110.3,41.1,9.762171889492627,0.1129196607526027,Head,1
113.1,40.0,6.900000000000006,0.0,Head,1
113.2,51.3,13.188252348207472,1.0290764371402694,Right Foot,1
93.6,75.6,44.32064981473083,0.9327103275260372,Left Foot,1
101.2,40.0,18.8,0.0,Left Foot,1
116.4,45.5,6.573431371817915,0.9912323415015742,Right Foot,1
108.0,40.0,12.0,0.0,Right Foot,1
102.6,25.7,22.52221125911042,0.6879163240401951,Right Foot,1
116.0,32.0,8.94427190999916,1.1071487177940904,Right Foot,1
108.1,40.1,11.900420160649796,0.0084031635476471,Right Foot,1
115.2,36.8,5.768882040742382,0.5880026035475682,Right Foot,1
97.6,51.2,25.04396134799765,0.4636476090008061,Right Foot,1
107.8,24.7,19.568597292601225,0.8976515524097306,Left Foot,1
108.2,40.0,11.799999999999995,0.0,Right Foot,1
118.5,38.7,1.9849433241279189,0.7140906986121569,Head,1
116.7,30.5,10.0568384694197,1.236467819385972,Left Foot,1
114.6,30.3,11.10180165558726,1.0628229319871123,Left Foot,1
117.6,36.9,3.920459156782536,0.9119902906774194,Right Foot,1
114.1,34.0,8.414867794564573,0.7938013269450949,Head,1
89.3,76.5,47.69423445239477,0.8714943238930225,Right Foot,1
104.3,48.1,17.666352198459084,0.4763051608348581,Left Foot,1
101.0,42.1,19.11570035337445,0.1100795204871516,Right Foot,1
104.0,35.2,16.704490414256878,0.2914567944778669,Head,1
108.5,46.6,13.259336333316234,0.5210170194537029,Left Foot,1
108.3,44.8,12.646343345014795,0.3893167218331406,Right Foot,1
113.4,40.7,6.637017402418041,0.1056655820998562,Right Foot,1
93.9,44.9,26.555978611228014,0.1855792708335766,Right Foot,1
108.8,29.2,15.558920271021382,0.76721834832447,Right Foot,1
111.6,40.1,8.400595217006954,0.0119041995583099,Head,1
87.3,34.8,33.110874346655365,0.1577009501774027,Right Foot,1
109.7,38.7,10.381714694596454,0.1255497371085254,Left Foot,1
108.1,46.4,13.511846653955192,0.4934401158287296,Right Foot,1
114.4,40.7,5.64358042380898,0.124354994546762,Right Foot,1
